name,url
3.3,https://coop-land.ru/allgames/shooter/33708-halo-campaign-evolved.html
2.3,https://coop-land.ru/allgames/free-to-play-games/36265-the-division-resurgence.html
The Division Resurgence Action-Shooter   3rd Person   кооператив для 4х   совместное прохождение   соревновательный мультиплеер   free2play,https://coop-land.ru/allgames/free-to-play-games/36265-the-division-resurgence.html
8.5,https://coop-land.ru/allgames/simulator/35123-koreya-seriya-igr-il-2.html
Корея. Серия игр Ил-2 Action-Shooter   Simulator   кооператив для 4х   совместное прохождение   соревновательный мультиплеер,https://coop-land.ru/allgames/simulator/35123-koreya-seriya-igr-il-2.html
0.0,https://coop-land.ru/allgames/simulator/36267-waterpark-simulator.html
Waterpark Simulator Simulator   Sandbox   кооператив для 4х   совместное прохождение,https://coop-land.ru/allgames/simulator/36267-waterpark-simulator.html
Elders K.O. Arcade   Action   соревновательный мультиплеер,https://coop-land.ru/allgames/arcade/36231-elders-ko.html
3.5,https://coop-land.ru/allgames/sandbox/26409-the-ranchers.html
The Ranchers Simulator   Sandbox   кооператив для 4х   совместное прохождение,https://coop-land.ru/allgames/sandbox/26409-the-ranchers.html
6.7,https://coop-land.ru/allgames/shooter/36198-mistfall-hunter.html
Mistfall Hunter Action-Shooter   3rd Person   кооператив для 3х   совместное прохождение   соревновательный мультиплеер,https://coop-land.ru/allgames/shooter/36198-mistfall-hunter.html
4.0,https://coop-land.ru/allgames/strategy/36212-company-of-heroes-3-final-stand.html
Company of Heroes 3: Final Stand Real-time Strategy   кооператив для 4х   совместное прохождение,https://coop-land.ru/allgames/strategy/36212-company-of-heroes-3-final-stand.html
10.0,https://coop-land.ru/allgames/sandbox/36210-island-beekeeper.html
Island Beekeeper Simulator   Sandbox   кооператив для 4х   совместное прохождение,https://coop-land.ru/allgames/sandbox/36210-island-beekeeper.html
Codename CURE II Action-Shooter   1st Person   кооператив для 4х   совместное прохождение,https://coop-land.ru/allgames/shooter/36199-codename-cure-ii.html
3.4,https://coop-land.ru/allgames/horror/26079-carnival-hunt.html
Carnival Hunt Action   Survival horror   1st Person   соревновательный мультиплеер,https://coop-land.ru/allgames/horror/26079-carnival-hunt.html
4.4,https://coop-land.ru/allgames/rpg/36158-dragonsword-awakening.html
DragonSword : Awakening Action-RPG   3rd Person   кооператив для 3х   совместное прохождение,https://coop-land.ru/allgames/rpg/36158-dragonsword-awakening.html
Shift At Midnight Action   Survival horror   1st Person   кооператив для 3х   совместное прохождение,https://coop-land.ru/allgames/horror/35955-shift-at-midnight.html
1.0,https://coop-land.ru/allgames/simulator/36188-aquapark-tycoon.html
Aquapark Tycoon Strategy   Simulator   кооператив для 4х   совместное прохождение,https://coop-land.ru/allgames/simulator/36188-aquapark-tycoon.html
Her Story Omega Edition 4,https://example.com/games/her-story-omega-edition-4
Minecraft Story Mode Omega Edition 4,https://example.com/games/minecraft-story-mode-omega-edition-4
Minecraft Story Mode Premium Edition,https://example.com/games/minecraft-story-mode-premium-edition
Her Story Physical Edition,https://example.com/games/her-story-physical-edition
Minecraft Story Mode Remastered,https://example.com/games/minecraft-story-mode-remastered
Her Story,https://example.com/games/her-story
Her Story Omega Edition 3,https://example.com/games/her-story-omega-edition-3
Her Story Game of the Year Edition,https://example.com/games/her-story-game-of-the-year-edition
